,X,Y,Z,RSSI
0,2709.71706926816,529.8049224621736,-69.80318079397797,-98.0
1,2686.720003862837,523.4662364165243,-71.21342003325655,-98.0
2,2671.5300330798773,519.018702056535,-75.62015594730403,-97.0
3,2663.8931858956585,516.6838871436286,-78.02353568207346,-96.0
4,2640.309734242052,510.7896440540682,-83.03380392475887,-97.0
5,2632.2523161826143,508.6766776301756,-83.63729874567801,-97.0
6,2624.1106684155793,507.11896527290276,-84.0407730592699,-95.0
7,2616.1370194362935,505.22814687903997,-84.44419426473924,-96.0
8,2591.711985814442,499.77761776873007,-84.8545818446202,-96.0
9,2583.4025073464663,497.77564136933574,-85.05810493691142,-94.0
10,2575.009081670844,495.77364472183405,-85.2616504336975,-96.0
11,2566.2799212372024,493.6604813479057,-85.4653277944295,-95.0
12,2557.2988897910213,491.65829851482675,-85.6690847916313,-95.0
13,2538.833116111457,487.5427169535226,-85.87676774954883,-97.0
14,2529.7681620536746,485.20734816824876,-85.88054286647447,-96.0
15,2520.78710386385,482.76094605191577,-85.6842795632774,-96.0
16,2511.470387772932,480.20339650292925,-85.68814308134355,-94.0
17,2501.9017597857023,477.6457576228663,-85.49209064809598,-96.0
18,2472.4402868208726,470.63904117666294,-85.30408448536816,-97.0
19,2441.9708554985014,465.4090408005115,-85.11619044577877,-95.0
20,2417.292786341149,461.4026792005788,-84.32586904107114,-95.0
21,2409.5704411709116,460.2895460228917,-84.32886744829206,-96.0
22,2401.848018443628,459.17640657235967,-84.13185634117858,-96.0
23,2386.235578931006,456.7280239964997,-84.33788413542226,-96.0
24,2371.546102345598,455.72374672271627,-84.74342696844519,-94.0
25,2357.2761896097363,455.16386754280086,-85.14874926288036,-95.0
26,2350.1412138949577,454.9394675428798,-85.35139447275947,-96.0
27,2343.006270740431,454.3818851812888,-85.35405547961786,-95.0
28,2329.1557092411126,454.9327787889796,-85.75908168013031,-96.0
29,2322.3562896006847,455.37486299411273,-85.96152581627179,-96.0
30,2315.3889499667125,455.9279587223103,-86.16401560175491,-95.0
31,2300.0272812886114,456.70053158691366,-86.36951016499047,-97.0
32,2274.340570676998,457.58096078840566,-86.378644618504,-96.0
33,2266.2818758800586,458.2448079228338,-86.38146115590949,-95.0
34,2258.5588477888905,459.01981161747295,-86.18414074577983,-99.0
35,2250.835924424261,459.46164836946286,-85.98683493252993,-96.0
36,2234.802861804167,459.5677870619773,-85.9924569098082,-95.0
37,2226.4925148044317,459.6763092723522,-85.99535122272896,-94.0
38,2218.098362354479,459.5627131959721,-86.1982798814332,-97.0
39,2209.62023094537,459.33802858031453,-86.20123456621468,-95.0
40,2201.0581230021903,459.2243868765164,-86.20419891507959,-93.0
41,2192.7478758065977,458.99977238810584,-86.2070733345697,-96.0
42,2175.9594286097927,458.77263848817887,-86.21283092384671,-95.0
43,2167.649046377695,458.77015482873406,-86.01565669751507,-97.0
44,2159.254789706763,458.76767023952704,-86.01850002355094,-96.0
45,2143.1380487829733,458.4297806110139,-86.42395224050561,-96.0
46,2115.27085112416,460.1990879008746,-93.23311416402326,-97.0
47,2108.639420019554,460.75250763442716,-93.83526676149263,-96.0
48,2076.7410698256103,462.8535881350994,-95.24556498599127,-92.0
49,2070.2774883643883,463.0738861202053,-95.44764717621719,-92.0
50,2063.4781030676722,463.1830219567618,-95.4498393906524,-95.0
51,2047.361081297853,462.8452851072287,-95.0550502076143,-91.0
52,2038.2952434676793,462.7316783075092,-94.85795786540889,-90.0
53,2028.809534862583,462.72899566403083,-94.26097794142429,-92.0
54,2019.1559102496822,462.61520592577006,-93.46404508141784,-92.0
55,2009.250459919424,462.5013597344749,-92.6671768544189,-92.0
56,1989.103797231392,462.49574774521136,-91.27348275269648,-94.0
57,1978.6947316485268,462.71501035002495,-90.87669975752229,-91.0
58,1968.7895029589388,462.2680728115417,-90.47979294696702,-93.0
59,1959.0525500661488,460.8216969036561,-90.48289161541071,-91.0
60,1949.5675971248652,458.4869192821217,-90.28596226706783,-93.0
61,1930.178166776185,453.0398816515535,-89.89224093686659,-90.0
62,1919.9378887444739,450.2607240018862,-89.89552440501859,-90.0
63,1909.529657640042,447.48152278531666,-89.69884044808549,-91.0
64,1898.701822551824,444.48012468588354,-89.70227859366996,-93.0
65,1887.9578622680458,441.4787504458063,-89.50567216815581,-92.0
66,1866.9734042746131,436.1425289945441,-89.11220806946943,-90.0
67,1846.3246601969436,430.6953813779638,-88.51858102866854,-92.0
68,1835.4967763062132,427.69407755241144,-88.52190412193285,-91.0
69,1824.9204351925473,425.8034365511958,-88.52506135841247,-91.0
70,1804.2709302601309,424.1324475168018,-88.73103919753233,-90.0
71,1794.0301601463243,423.4636029974403,-89.13396825689661,-90.0
72,1783.7054996977454,422.7947655475037,-89.73690425947973,-91.0
73,1772.8771200096714,421.903677013476,-89.93997805593818,-90.0
74,1761.3771925642525,421.0124426086389,-90.14321859789982,-90.0
75,1749.457546256101,420.1211257726638,-90.34655328667871,-91.0
76,1725.5341176322686,419.3380694630142,-90.95311250100978,-87.0
77,1716.3837523879533,422.44559108434737,-91.55537232616155,-92.0
78,1713.7793159428295,437.32714180435346,-96.35506644569607,-96.0
79,1725.4446384034393,453.5447173397192,-100.35079085852799,-94.0
80,1732.4100030566524,462.4311116452069,-101.14826595796806,-97.0
81,1739.3751907226806,471.53960256898563,-101.54570462867481,-96.0
82,1777.5583498034118,514.0841329378635,-100.13189786924083,-93.0
83,1787.630940397778,515.7524524855842,-99.9289518462036,-89.0
84,1797.3683856517284,514.866355412457,-99.72629101546909,-89.0
85,1805.42773118717,510.9812743735321,-99.52433128473646,-91.0
86,1815.0000248944416,498.4339603644409,-98.72261367869163,-89.0
87,1817.4360305808016,490.9935940962077,-98.12249945908722,-85.0
88,1819.788205591289,482.6647104325601,-97.12246693786282,-84.0
89,1822.4764649616623,473.7806659842779,-96.72236814861557,-87.0
90,1826.5918124531333,464.89699484892253,-96.52184787162822,-90.0
